Season,Team,Wins,Losses,PointsPerGame,PointsAllowed,NetRating,OffensiveRating,DefensiveRating,ThreePointPct,FreeThrowPct,ReboundsPerGame,AssistsPerGame,TurnoversPerGame,PaceScore,MadePlayoffs
2018-19,Milwaukee Bucks,60,22,118.1,108.8,9.3,114.2,104.9,0.362,0.758,49.5,25.4,13.8,103.2,1
2018-19,Toronto Raptors,58,24,111.9,107.5,4.4,112.7,108.3,0.374,0.797,47.1,24.2,13.4,100.7,1
2018-19,Golden State Warriors,57,25,117.7,110.0,7.7,115.9,108.2,0.388,0.782,45.3,29.3,14.9,100.2,1
2018-19,Denver Nuggets,54,28,110.0,107.6,2.4,112.4,110.0,0.358,0.760,48.1,26.0,14.3,97.8,1
2018-19,Houston Rockets,53,29,112.4,108.3,4.1,112.4,108.3,0.364,0.796,43.3,24.8,14.7,100.5,1
2018-19,Boston Celtics,49,33,112.4,109.9,2.5,110.3,107.8,0.371,0.760,46.8,22.5,13.5,97.5,1
2018-19,Portland Trail Blazers,53,29,114.2,111.5,2.7,112.9,110.2,0.365,0.776,44.0,22.3,14.2,100.6,1
2018-19,Oklahoma City Thunder,49,33,109.8,107.6,2.2,110.9,108.7,0.336,0.741,46.7,21.8,15.4,98.7,1
2018-19,Philadelphia 76ers,51,31,114.2,109.0,5.2,113.5,108.3,0.367,0.759,48.3,25.9,14.5,98.3,1
2018-19,Indiana Pacers,48,34,108.2,106.5,1.7,109.7,108.0,0.356,0.769,46.7,22.5,12.9,97.4,1
2018-19,San Antonio Spurs,48,34,110.3,108.6,1.7,109.5,107.8,0.358,0.797,44.6,23.8,12.4,96.5,1
2018-19,Los Angeles Clippers,48,34,112.9,110.9,2.0,111.2,109.2,0.363,0.776,44.4,24.7,14.7,101.2,1
2018-19,Detroit Pistons,41,41,107.4,109.2,-1.8,108.6,110.4,0.349,0.752,46.3,21.4,12.7,97.0,0
2018-19,Orlando Magic,42,40,103.4,103.0,0.4,106.3,105.9,0.342,0.727,44.7,21.6,12.8,96.2,1
2018-19,Brooklyn Nets,42,40,110.5,112.0,-1.5,108.4,109.9,0.360,0.753,44.2,22.9,15.0,101.6,1
2018-19,Miami Heat,39,43,108.1,109.8,-1.7,107.9,109.6,0.350,0.758,43.8,22.2,14.2,99.5,0
2018-19,Charlotte Hornets,39,43,111.2,113.3,-2.1,109.3,111.4,0.361,0.793,42.4,23.0,13.8,101.4,0
2018-19,Atlanta Hawks,29,53,109.8,117.5,-7.7,107.9,115.6,0.352,0.751,43.8,23.5,14.7,101.4,0
2018-19,Chicago Bulls,22,60,104.0,114.2,-10.2,105.0,115.2,0.338,0.740,44.7,22.7,15.9,99.1,0
2018-19,Cleveland Cavaliers,19,63,107.3,116.2,-8.9,108.0,116.9,0.348,0.757,42.2,22.1,14.6,100.6,0
